method,alpha,experiment_count,mean_accuracy,max_accuracy,mean_loss,min_loss,fedavg_max_accuracy,gain_pp,relative_gain_pct
LEDC,0.1,3,85.77,91.8,0.72,0.48,86.7,5.1,5.88
FedProx,0.1,3,82.2,88.9,0.86,0.63,86.7,2.2,2.54
FedAvg,0.1,3,80.17,86.7,0.94,0.71,86.7,0.0,0.0
LEDC,0.3,3,87.7,93.4,0.64,0.41,89.2,4.2,4.71
FedProx,0.3,3,84.5,90.1,0.75,0.52,89.2,0.9,1.01
FedAvg,0.3,3,83.53,89.2,0.8,0.58,89.2,0.0,0.0
